id,topicName
1,Data Governance
2,Data Architecture
3,Data Modeling and Design
4,Data Storage and Operations
5,Data Security
6,Data Integration and Interopearationality
7,Document & Content Management
8,Reference & Master Data Management
9,Data Warehousing & Business Intelligence
10,Metadata Management
11,Data Quality
12,Strategic intent
28,Technology
29,Human
30,Customer intimacy
31,Operational and informational excellence
32,Product and solution leadership
33,Attraction and recruitment
34,Onboarding
35,Workforce management and enablement
36,Development
37,Retention
38,Separation
39,Communication
40,Knowledge
41,Collaboration
42,Process
43,Success
44,Leadership/Sponsorship
45,Project Management
46,Change Management
47,Devices
48,Application
49,Networks
50,Data
51,Users
53,Portfolio Planning
54,RAID Management
55,Finance Management
56,Benefit Management
57,Resource Management
58,Governance & Change Control
59,Stakeholder Engagement & Change Management
60,Framework & Tools
61,Training & Development
62,Customer Experience Management
63,Customer Outside-in-view
64,Customer Insight
65,Customer trust
66,Strategy Management
67,Marketing & Brand Mgmt
68,Ecosystem Management
69,Financial Sponsorship
70,Market Intelligence
71,Portfolio Management
72,Organisational value
73,Talent Management
74,Workplace Enablement
75,Operations governance
76,Service Design & innovation
77,Service Transition / deployment
78,Service Ops
79,Data governance
80,Data Engineering
81,Data value realisation
82,Tech governance
83,Tech & application architecture
84,Security
85,Application & performance
86,Connectivity & Compute
